Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
29,2.90657E+13,29,82,1,40,22,239,2,1,0,2,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,21,6,226,4,257,0,1,0,0,0,42,22,6,26,3,17,0,0,6,0,6,11,0,1878,6,35,17,9,2,1,3,2,0
29,2.90463E+13,20,63,0,31,10,46,0,1,0,7,148,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,374,1,65,0,0,0,1,0,54,13,3,12,0,0,0,0,1,0,3,2,1,1308,2,25,15,3,2,1,1,0,0
30,4.32003E+14,53,358,8,14,9,138,1,0,0,1,30,0,6,103,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,61,2,41,10,586,0,2,0,1,1,26,30,9,41,4,29,0,2,4,1,21,4,1,1882,7,52,7,3,1,1,8,8,0
30,3.00463E+13,38,143,1,20,11,131,0,0,0,2,34,0,1,14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,9,5,225,3,196,1,0,0,2,1,42,26,3,17,2,16,2,0,4,0,11,3,1,1702,3,20,10,2,2,1,1,1,0
30,7.16003E+14,25,70,2,27,15,235,1,0,0,6,160,0,3,5,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,27,5,163,6,394,0,0,0,4,3,50,32,9,14,0,0,0,2,2,0,5,7,1,1536,7,48,9,2,0,0,4,2,2
30,3.00312E+13,25,80,0,40,22,216,2,1,0,5,74,0,1,-3,0,0,0,0,2,75,1,0,0,0,1,0,3,3,0,0,0,0,0,21,4,171,3,186,0,0,1,4,1,37,36,4,6,0,0,0,0,3,0,3,13,1,1701,3,37,14,7,2,1,3,2,0
30,3.00498E+13,34,29,0,39,20,234,1,2,0,4,99,0,0,0,0,0,0,0,1,10,0,0,0,0,1,1,1,1,0,0,0,0,0,10,5,232,3,165,0,0,0,3,1,51,26,5,11,0,0,2,0,1,1,7,10,1,1810,16,105,15,7,2,1,3,1,0
30,2.31003E+14,48,276,2,22,14,154,1,1,0,3,66,0,5,20,0,0,0,0,1,31,0,0,0,0,3,2,3,3,0,0,0,0,0,27,5,240,6,379,0,0,0,3,1,32,26,4,24,3,23,0,2,2,0,14,6,2,2133,9,72,13,4,0,0,7,3,2
30,3.00367E+13,25,45,0,41,23,303,1,2,0,4,56,0,1,-1,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,13,5,181,4,255,1,0,0,0,0,48,14,5,18,2,11,0,0,1,0,4,11,3,1768,3,30,13,4,1,0,4,1,2
30,6.71003E+14,28,57,2,24,11,182,0,2,0,4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,18,5,225,4,250,1,0,0,4,1,47,30,2,3,0,0,0,1,4,0,6,5,1,1462,8,70,10,0,3,3,3,2,1
