Date,Day,Winner,Pts,Loser,Pts
10/5/2013,Sat,Toledo,47,Western Michigan,20
10/5/2013,Sat,Troy,34,South Alabama,33
10/5/2013,Sat,Tulane,24,North Texas,21
10/5/2013,Sat,Virginia Tech,27,North Carolina,17
10/5/2013,Sat,Wake Forest,28,North Carolina State,13
10/5/2013,Sat,Washington State,44,California,22
10/10/2013,Thu,Louisville,24,Rutgers,10
10/10/2013,Thu,San Diego State,27,Air Force,20
10/10/2013,Thu,USC,38,Arizona,31
10/11/2013,Fri,Cincinnati,38,Temple,20
10/12/2013,Sat,Alabama,48,Kentucky,7
10/12/2013,Sat,Alabama-Birmingham,27,Florida International,24
10/12/2013,Sat,Arizona State,54,Colorado,13
10/12/2013,Sat,Arkansas State,48,Idaho,24
10/12/2013,Sat,Army,50,Eastern Michigan,25
10/12/2013,Sat,Auburn,62,Western Carolina,3
10/12/2013,Sat,Ball State,27,Kent State,24
10/12/2013,Sat,Baylor,35,Kansas State,25
10/12/2013,Sat,Boise State,34,Utah State,23
10/12/2013,Sat,Brigham Young,38,Georgia Tech,20
10/12/2013,Sat,Buffalo,33,Western Michigan,0
10/12/2013,Sat,Central Michigan,26,Ohio,23
10/12/2013,Sat,Clemson,24,Boston College,14
10/12/2013,Sat,Duke,35,Navy,7
10/12/2013,Sat,Houston,25,Memphis,15
10/12/2013,Sat,LSU,17,Florida,6
10/12/2013,Sat,Louisiana-Monroe,21,Texas State,14
10/12/2013,Sat,Marshall,24,Florida Atlantic,23
10/12/2013,Sat,Maryland,27,Virginia,26
10/12/2013,Sat,Massachusetts,17,Miami (OH),10
10/12/2013,Sat,Michigan State,42,Indiana,28
10/12/2013,Sat,Mississippi State,21,Bowling Green State,20
10/12/2013,Sat,Missouri,41,Georgia,26
10/12/2013,Sat,Nebraska,44,Purdue,7
10/12/2013,Sat,Nevada-Las Vegas,39,Hawaii,37
10/12/2013,Sat,North Texas,34,Middle Tennessee State,7
10/12/2013,Sat,Northern Illinois,27,Akron,20
10/12/2013,Sat,Oregon,45,Washington,24
10/12/2013,Sat,Oregon State,52,Washington State,24
10/12/2013,Sat,Penn State,43, Michigan,40
10/12/2013,Sat,Rice,27,Texas-San Antonio,21
10/12/2013,Sat,San Jose State,34,Colorado State,27
10/12/2013,Sat,South Carolina,52,Arkansas,7
10/12/2013,Sat,South Florida,13,Connecticut,10
10/12/2013,Sat,Syracuse,24,North Carolina State,10
10/12/2013,Sat,Texas,36,Oklahoma,20
10/12/2013,Sat,Texas A&M,41,Mississippi,38
10/12/2013,Sat,TCU,27,Kansas,17
10/12/2013,Sat,Texas Tech,42,Iowa State,35
10/12/2013,Sat,Troy,35,Georgia State,28
10/12/2013,Sat,Tulane,36,East Carolina,33
10/12/2013,Sat,Tulsa,34,Texas-El Paso,20
10/12/2013,Sat,UCLA,37,California,10
10/12/2013,Sat,Utah,27, Stanford,21
10/12/2013,Sat,Virginia Tech,19,Pittsburgh,9
10/12/2013,Sat,Wisconsin,35,Northwestern,6
10/12/2013,Sat,Wyoming,38,New Mexico,31
10/15/2013,Tue,Louisiana,37,Western Kentucky,20
10/17/2013,Thu,Miami (Florida),27,North Carolina,23
10/18/2013,Fri,Central Florida,38,Louisville,35
10/19/2013,Sat,Akron,24,Miami (OH),17
10/19/2013,Sat,Alabama,52,Arkansas,0
10/19/2013,Sat,Arizona,35,Utah,24
10/19/2013,Sat,Arizona State,53,Washington,24
10/19/2013,Sat,Auburn,45,Texas A&M,41
10/19/2013,Sat,Ball State,38,Western Michigan,17
10/19/2013,Sat,Baylor,71,Iowa State,7
10/19/2013,Sat,Boise State,34,Nevada,17
10/19/2013,Sat,Brigham Young,47,Houston,46
10/19/2013,Sat,Buffalo,32,Massachusetts,3
10/19/2013,Sat,Cincinnati,41,Connecticut,16
10/19/2013,Sat,Colorado,43,Charleston Southern,10
10/19/2013,Sat,Colorado State,52,Wyoming,22
10/19/2013,Sat,Duke,35,Virginia,22
10/19/2013,Sat,East Carolina,55,Southern Mississippi,14
10/19/2013,Sat,Florida State,51,Clemson,14
10/19/2013,Sat,Fresno State,38,Nevada-Las Vegas,14
10/19/2013,Sat,Georgia Tech,56,Syracuse,0
10/19/2013,Sat,Michigan,63,Indiana,47
10/19/2013,Sat,Michigan State,14,Purdue,0
10/19/2013,Sat,Minnesota,20,Northwestern,17
10/19/2013,Sat,Mississippi,27,LSU,24
10/19/2013,Sat,Missouri,36,Florida,17
10/19/2013,Sat,North Texas,28,Louisiana Tech,13
10/19/2013,Sat,Northern Illinois,38,Central Michigan,17
10/19/2013,Sat,Notre Dame,14,USC,10
10/19/2013,Sat,Ohio,56,Eastern Michigan,28
10/19/2013,Sat,Ohio State,34,Iowa,24
10/19/2013,Sat,Oklahoma,34,Kansas,19
10/19/2013,Sat,Oklahoma State,24,TCU,10
10/19/2013,Sat,Oregon,62,Washington State,38
10/19/2013,Sat,Oregon State,49,California,17
10/19/2013,Sat,Pittsburgh,35,Old Dominion,24
10/19/2013,Sat,Rice,45,New Mexico State,19
10/19/2013,Sat,South Alabama,38,Kent State,21
10/19/2013,Sat,Southern Methodist,34,Memphis,29
10/19/2013,Sat,Stanford,24,UCLA,10
10/19/2013,Sat,Temple,33,Army,14
10/19/2013,Sat,Tennessee,23,South Carolina,21
10/19/2013,Sat,Texas State,24,Georgia State,17
10/19/2013,Sat,Texas Tech,37,West Virginia,27
