Wk,Date,Day,Winner,Pts,Loser,Pts
11,11/12/2011,Sat,Florida State,23,Miami (Florida),19
4,9/24/2011,Sat,Kansas State,28,Miami (Florida),24
1,9/5/2011,Mon,Maryland,32,Miami (Florida),24
9,10/27/2011,Thu,Virginia,28,Miami (Florida),21
4,9/24/2011,Sat,Bowling Green State,37,Miami (OH),23
5,10/1/2011,Sat,Cincinnati,27,Miami (OH),0
3,9/17/2011,Sat,Minnesota,29,Miami (OH),23
1,9/3/2011,Sat,Missouri,17,Miami (OH),6
13,11/22/2011,Tue,Ohio,21,Miami (OH),14
11,11/9/2011,Wed,Temple,24,Miami (OH),21
8,10/22/2011,Sat,Toledo,49,Miami (OH),28
12,11/16/2011,Wed,Western Michigan,24,Miami (OH),21
12,11/19/2011,Sat,Arkansas State,45,Middle Tennessee State,19
13,11/26/2011,Sat,Florida International,31,Middle Tennessee State,18
2,9/10/2011,Sat,Georgia Tech,49,Middle Tennessee State,21
9,10/29/2011,Sat,Louisiana,45,Middle Tennessee State,20
11,11/12/2011,Sat,Louisiana-Monroe,42,Middle Tennessee State,14
14,12/3/2011,Sat,North Texas,59,Middle Tennessee State,7
1,9/3/2011,Sat,Purdue,27,Middle Tennessee State,24
10,11/5/2011,Sat,Tennessee,24,Middle Tennessee State,0
4,9/24/2011,Sat,Troy,38,Middle Tennessee State,35
6,10/6/2011,Thu,Western Kentucky,36,Middle Tennessee State,33
